metro,origin,destination,duration
"Abilene, TX", "The Grace Museum","Abilene Regional Airport",669
"Abilene, TX", "12th Armored Division Memorial","Hardin-Simmons University",453
"Abilene, TX", "Will Hair Park","The Grace Museum",453
"Abilene, TX", "Hardin-Simmons University","Abilene Regional Airport",869
"Abilene, TX", "Abilene Regional Airport","Will Hair Park",749
"Akron, OH", "Akron Zoo","Akron Fulton Airport",884
"Akron, OH", "Akron/Summit Convention & Visitors Bureau","Kent State University",1453
"Akron, OH", "Sarah's Vineyard","Akron Zoo",1275
"Akron, OH", "Kent State University","Akron Fulton Airport",1136
"Akron, OH", "Akron Fulton Airport","Sarah's Vineyard",1483
"Albany, GA", "Thronateeska Heritage Center","Southwest Georgia Regional Airport",714
"Albany, GA", "Flint RiverQuarium","Albany State University West Campus",689
"Albany, GA", "Turtle Grove Park","Thronateeska Heritage Center",149
"Albany, GA", "Albany State University West Campus","Southwest Georgia Regional Airport",741
"Albany, GA", "Southwest Georgia Regional Airport","Turtle Grove Park",629
"Albany-Lebanon, OR", "Freeway Lakes","Cubehole",1603
"Albany-Lebanon, OR", "Bob Smith Memorial Park","Linn-Benton Community College",1358
"Albany-Lebanon, OR", "AYSO Soccer Fields","Freeway Lakes",1108
"Albany-Lebanon, OR", "Linn-Benton Community College","Cubehole",1764
"Albany-Lebanon, OR", "Cubehole","AYSO Soccer Fields",1437
"Albany-Schenectady-Troy, NY", "New York State Museum","Albany International Airport",1196
"Albany-Schenectady-Troy, NY", "Liberty Ridge Farm","J. Erik Jonsson Engineering Center",1712
"Albany-Schenectady-Troy, NY", "Parks Recreation & Historic","New York State Museum",58
"Albany-Schenectady-Troy, NY", "J. Erik Jonsson Engineering Center","Albany International Airport",794
"Albany-Schenectady-Troy, NY", "Albany International Airport","Parks Recreation & Historic",1117
"Albuquerque, NM", "ABQ BioPark - Botanic Garden","Albuquerque International Sunport",1540
"Albuquerque, NM", "New Mexico Museum of Natural History and Science","The University of New Mexico",814
"Albuquerque, NM", "Indian Pueblo Cultural Center","ABQ BioPark - Botanic Garden",457
"Albuquerque, NM", "The University of New Mexico","Albuquerque International Sunport",1154
"Albuquerque, NM", "Albuquerque International Sunport","Indian Pueblo Cultural Center",1260
"Alexandria, LA", "Alexandria Zoological Park","Alexandria International Airport",1281
"Alexandria, LA", "Compton Park","Louisiana Christian University",778
"Alexandria, LA", "Kincaid Lakeshore Trailhead","Alexandria Zoological Park",1284
"Alexandria, LA", "Louisiana Christian University","Alexandria International Airport",1351
"Alexandria, LA", "Alexandria International Airport","Kincaid Lakeshore Trailhead",909
"Allentown-Bethlehem-Easton, PA-NJ", "Wind Creek Bethlehem","Lehigh Valley International Airport",901
"Allentown-Bethlehem-Easton, PA-NJ", "Lehigh Valley Zoo","DeSales University",1790
"Allentown-Bethlehem-Easton, PA-NJ", "George Taylor House","Wind Creek Bethlehem",1131
"Allentown-Bethlehem-Easton, PA-NJ", "DeSales University","Lehigh Valley International Airport",1238
"Allentown-Bethlehem-Easton, PA-NJ", "Lehigh Valley International Airport","George Taylor House",245
"Altoona, PA", "World Famous Horseshoe Curve","Vor-Tech Management LLC",1223
"Altoona, PA", "Canoe Creek State Park","Penn State Altoona",1659
