metro,state_code,metro_state_code,count,company_1_id,company_1_name,company_1_website,company_1_industry,company_1_linkedin_url,company_1_count,company_2_id,company_2_name,company_2_website,company_2_industry,company_2_linkedin_url,company_2_count,company_3_id,company_3_name,company_3_website,company_3_industry,company_3_linkedin_url,company_3_count,company_4_id,company_4_name,company_4_website,company_4_industry,company_4_linkedin_url,company_4_count,company_5_id,company_5_name,company_5_website,company_5_industry,company_5_linkedin_url,company_5_count,company_6_id,company_6_name,company_6_website,company_6_industry,company_6_linkedin_url,company_6_count,company_7_id,company_7_name,company_7_website,company_7_industry,company_7_linkedin_url,company_7_count,company_8_id,company_8_name,company_8_website,company_8_industry,company_8_linkedin_url,company_8_count,company_9_id,company_9_name,company_9_website,company_9_industry,company_9_linkedin_url,company_9_count,company_10_id,company_10_name,company_10_website,company_10_industry,company_10_linkedin_url,company_10_count
"abilene, texas",TX,"Abilene, TX",64753,united-states-air-force,united states air force,airforce.com,defense & space,linkedin.com/company/united-states-air-force,1486,abilene-christian-university,abilene christian university,acu.edu,higher education,linkedin.com/company/abilene-christian-university,1121,hendrick-health,hendrick health,hendrickhealth.org,hospital & health care,linkedin.com/company/hendrick-health,1097,abilebe-isd,abilene isd,abileneisd.org,education management,linkedin.com/company/abilebe-isd,740,hardin-simmons-university,hardin-simmons university,hsutx.edu,higher education,linkedin.com/company/hardin-simmons-university,297,city-of-abilene-texas,"city of abilene, texas",abilenetx.com,government administration,linkedin.com/company/city-of-abilene-texas,263,first-financial-bankshares-inc-,first financial bank texas,ffin.com,banking,linkedin.com/company/first-financial-bankshares-inc-,249,abilene-regional-medical-center,abilene regional medical center,None,hospital & health care,linkedin.com/company/abilene-regional-medical-center,208,mcmurry-university,mcmurry university,mcm.edu,higher education,linkedin.com/company/mcmurry-university,173,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,164
"akron, ohio",OH,"Akron, OH",272134,kent-state-university,kent state university,kent.edu,higher education,linkedin.com/company/kent-state-university,3443,summahealth,summa health,summahealth.org,hospital & health care,linkedin.com/company/summahealth,2524,the-university-of-akron,the university of akron,uakron.edu,higher education,linkedin.com/company/the-university-of-akron,2269,cleveland-clinic,cleveland clinic,clevelandclinic.org,hospital & health care,linkedin.com/company/cleveland-clinic,1969,akron-children's-hospital,akron children's hospital,akronchildrens.org,hospital & health care,linkedin.com/company/akron-children's-hospital,1658,goodyear,the goodyear tire & rubber company,goodyear.com,automotive,linkedin.com/company/goodyear,1589,akron-public-schools,akron public schools,akronschools.com,education management,linkedin.com/company/akron-public-schools,1445,akron-general,cleveland clinic akron general,akrongeneral.org,hospital & health care,linkedin.com/company/akron-general,1179,firstenergy-corp,firstenergy,firstenergycorp.com,utilities,linkedin.com/company/firstenergy-corp,1053,progressive-insurance,progressive insurance,progressive.com,insurance,linkedin.com/company/progressive-insurance,727
"albany, georgia",GA,"Albany, GA",58003,phoebe-putney-memorial-hospital,phoebe putney health system,phoebeputney.com,hospital & health care,linkedin.com/company/phoebe-putney-memorial-hospital,1445,dougherty-county-school-system,dougherty county school system,docoschools.org,education management,linkedin.com/company/dougherty-county-school-system,1004,albany-state-university,albany state university,asurams.edu,higher education,linkedin.com/company/albany-state-university,643,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,230,united-states-marine-corps,marine corps recruiting,marines.com,military,linkedin.com/company/united-states-marine-corps,219,albany-technical-college,albany technical college,albanytech.edu,higher education,linkedin.com/company/albany-technical-college,218,procter-and-gamble,procter & gamble,pg.com,consumer goods,linkedin.com/company/procter-and-gamble,204,city-of-albany,city of albany,rocketarchitects.com,government administration,linkedin.com/company/city-of-albany,130,darton-college,darton state college,darton.edu,higher education,linkedin.com/company/darton-college,124,albany-area-primary-healthcare,albany area primary health care (aaphc),aaphc.org,medical practice,linkedin.com/company/albany-area-primary-healthcare,114
"albany, new york",NY,"Albany, NY",460649,albany-medical-center,albany medical center,amc.edu,hospital & health care,linkedin.com/company/albany-medical-center,3698,regeneron-pharmaceuticals,"regeneron pharmaceuticals, inc.",regeneron.com,biotechnology,linkedin.com/company/regeneron-pharmaceuticals,2802,university-at-albany,university at albany,albany.edu,higher education,linkedin.com/company/university-at-albany,2565,globalfoundries,globalfoundries,globalfoundries.com,semiconductors,linkedin.com/company/globalfoundries,1900,rensselaer-polytechnic-institute,rensselaer polytechnic institute,rpi.edu,higher education,linkedin.com/company/rensselaer-polytechnic-institute,1852,nys-department-of-health,new york state department of health,health.ny.gov,"health, wellness and fitness",linkedin.com/company/nys-department-of-health,1825,st-peters-health-partners,st. peter's health partners,sphp.com,hospital & health care,linkedin.com/company/st-peters-health-partners,1793,ge,ge,ge.com,electrical/electronic manufacturing,linkedin.com/company/ge,1447,golub-group,price chopper supermarkets - market 32,pricechopper.com,supermarkets,linkedin.com/company/golub-group,1302,naval-nuclear-laboratory-bmpc-,naval nuclear laboratory (bmpc),navalnuclearlab.energy.gov,defense & space,linkedin.com/company/naval-nuclear-laboratory-bmpc-,818
"albany, oregon",OR,"Albany, OR",28054,samaritan-health-services,samaritan health services,samhealth.org,hospital & health care,linkedin.com/company/samaritan-health-services,403,oregon-state-university,oregon state university,oregonstate.edu,higher education,linkedin.com/company/oregon-state-university,228,linn-benton-community-college,linn-benton community college,linnbenton.edu,higher education,linkedin.com/company/linn-benton-community-college,190,allegheny-technologies,allegheny technologies incorporated (ati),atimetals.com,mining & metals,linkedin.com/company/allegheny-technologies,117,hp,hp,hp.com,information technology and services,linkedin.com/company/hp,85,state-of-oregon,state of oregon,oregon.gov,government administration,linkedin.com/company/state-of-oregon,84,georgia-pacific-llc,georgia-pacific llc,gp.com,paper & forest products,linkedin.com/company/georgia-pacific-llc,81,lowe's-home-improvement,"lowe's companies, inc.",lowes.com,retail,linkedin.com/company/lowe's-home-improvement,77,cityofalbany,city of albany oregon,cityofalbany.net,government administration,linkedin.com/company/cityofalbany,67,greater-albany-public-schools,greater albany public schools,None,None,linkedin.com/company/greater-albany-public-schools,65
"albuquerque, new mexico",NM,"Albuquerque, NM",371282,sandia-national-laboratories,sandia national laboratories,sandia.gov,defense & space,linkedin.com/company/sandia-national-laboratories,7244,the-university-of-new-mexico,the university of new mexico,unm.edu,higher education,linkedin.com/company/the-university-of-new-mexico,7046,albuquerque-public-schools,albuquerque public schools,aps.edu,primary/secondary education,linkedin.com/company/albuquerque-public-schools,4527,presbyterian-healthcare-services,presbyterian healthcare services,phs.org,hospital & health care,linkedin.com/company/presbyterian-healthcare-services,3671,united-states-air-force,united states air force,airforce.com,defense & space,linkedin.com/company/united-states-air-force,1851,city-of-albuquerque,city of albuquerque,cabq.gov,government administration,linkedin.com/company/city-of-albuquerque,1799,intel-corporation,intel corporation,intel.com,semiconductors,linkedin.com/company/intel-corporation,1799,lovelace-health-system,lovelace health system,lovelace.com,hospital & health care,linkedin.com/company/lovelace-health-system,1457,state-of-new-mexico,"new mexico state personnel office, career services bureau",spo.state.nm.us,government administration,linkedin.com/company/state-of-new-mexico,1341,unm-hospitals,the university of new mexico health sciences center,hsc.unm.edu,hospital & health care,linkedin.com/company/unm-hospitals,1163
"alexandria, louisiana",LA,"Alexandria, LA",53399,rapides-parish-school-board,rapides parish school board,rpsb.us,medical practice,linkedin.com/company/rapides-parish-school-board,476,cleco,cleco,cleco.com,oil & energy,linkedin.com/company/cleco,358,christus-health,christus health,christushealth.org,hospital & health care,linkedin.com/company/christus-health,325,us-army,us army,goarmy.com,military,linkedin.com/company/us-army,316,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,288,department-of-veterans-affairs,u.s. department of veterans affairs,va.gov,government administration,linkedin.com/company/department-of-veterans-affairs,281,rapides-regional-medical-center-llc,rapides regional medical center llc,rapidesregional.com,hospital & health care,linkedin.com/company/rapides-regional-medical-center-llc,209,procter-and-gamble,procter & gamble,pg.com,consumer goods,linkedin.com/company/procter-and-gamble,191,christus-st-frances-cabrini,christus st frances cabrini,None,hospital & health care,linkedin.com/company/christus-st-frances-cabrini,135,state-of-louisiana,state of louisiana,None,government administration,linkedin.com/company/state-of-louisiana,114
"allentown, pennsylvania",PA,"Allentown, PA",356465,lehigh-valley-hospital,lehigh valley health network,lvhn.org,hospital & health care,linkedin.com/company/lehigh-valley-hospital,5773,st--luke's-hospital,st. luke's university health network,sluhn.org,hospital & health care,linkedin.com/company/st--luke's-hospital,4366,lehigh-university,lehigh university,lehigh.edu,higher education,linkedin.com/company/lehigh-university,2188,air-products,air products,airproducts.com,chemicals,linkedin.com/company/air-products,2174,adp,adp,adp.com,human resources,linkedin.com/company/adp,1184,amazon,amazon,amazon.com,internet,linkedin.com/company/amazon,1090,the-guardian-life-insurance-company-of-america_164085,guardian life,guardianlife.com,financial services,linkedin.com/company/the-guardian-life-insurance-company-of-america_164085,1001,b--braun-medical-inc.-us,b. braun medical inc. (us),bbraunusa.com,medical devices,linkedin.com/company/b--braun-medical-inc.-us,688,ppl-corporation,ppl corporation,pplweb.com,utilities,linkedin.com/company/ppl-corporation,679,lutron-electronics,lutron electronics,lutron.com,electrical/electronic manufacturing,linkedin.com/company/lutron-electronics,641
"altoona, pennsylvania",PA,"Altoona, PA",39670,sheetz,sheetz,sheetz.com,retail,linkedin.com/company/sheetz,671,penn-state-university,penn state university,psu.edu,higher education,linkedin.com/company/penn-state-university,561,upmc,upmc,upmc.com,hospital & health care,linkedin.com/company/upmc,402,altoona-area-school-district,altoona area school district,aasdcat.com,education management,linkedin.com/company/altoona-area-school-district,316,altoona-regional-health-system,altoona regional health system,altoonaregional.org,hospital & health care,linkedin.com/company/altoona-regional-health-system,279,upmc-altoona,upmc altoona,None,medical practice,linkedin.com/company/upmc-altoona,175,department-of-veterans-affairs,u.s. department of veterans affairs,va.gov,government administration,linkedin.com/company/department-of-veterans-affairs,147,new-pig,new pig,newpig.com,business supplies and equipment,linkedin.com/company/new-pig,126,and-something-for-you,child-of-god.org,child-of-god.org,non-profit organization management,linkedin.com/company/and-something-for-you,118,hollidaysburg-area-school-distrit,hollidaysburg area school distrit,tigerwires.com,education management,linkedin.com/company/hollidaysburg-area-school-distrit,107
"amarillo, texas",TX,"Amarillo, TX",103437,amarillo-isd,amarillo isd,amaisd.org,education management,linkedin.com/company/amarillo-isd,1589,west-texas-a&m-university,west texas a&m university,wtamu.edu,higher education,linkedin.com/company/west-texas-a&m-university,969,pantex-plant,pantex plant,pantex.com,defense & space,linkedin.com/company/pantex-plant,896,amarillo-college,amarillo college,actx.edu,higher education,linkedin.com/company/amarillo-college,728,bsa-health-system,bsa health system,bsahs.org,hospital & health care,linkedin.com/company/bsa-health-system,610,xcel-energy,xcel energy,xcelenergy.com,utilities,linkedin.com/company/xcel-energy,574,city-of-amarillo,city of amarillo,amarillo.gov,government administration,linkedin.com/company/city-of-amarillo,486,walmart,walmart,walmartcareers.com,retail,linkedin.com/company/walmart,427,bell-flight,bell helicopter,bellflight.com,aviation & aerospace,linkedin.com/company/bell-flight,344,aig,aig,aig.com,insurance,linkedin.com/company/aig,322
